ra,dec,r_auto,mn170_pS
20.8015,-0.6411,14.0,0.08929168
30.5493,-0.1303,14.02,0.9943672
13.4697,0.9797,14.03,0.001794867
57.8805,1.1898,14.05,0.0017936401
344.5894,-1.1839,14.06,0.66038793
36.6179,1.1604,14.06,0.001998459
21.2621,0.4445,14.09,0.11554986
18.0359,-0.4102,14.1,0.99067444
14.0952,-1.2097,14.12,0.8852618
23.2582,-0.6899,14.17,0.9943672
48.0535,-1.0619,14.22,0.0020576369
2.1591,-0.7353,14.23,0.9942807
20.8071,-0.3852,14.24,0.9943672
314.6594,0.9126,14.27,0.0018014557
311.4565,0.178,14.27,0.9941057
343.1946,1.1328,14.28,0.99360996
331.5855,1.1211,14.28,0.001802553
42.5703,0.0919,14.29,0.99436706
348.6382,0.2362,14.3,0.9943672
331.1055,0.7155,14.31,0.0018322032
348.8093,-1.2421,14.33,0.0018096718
42.8962,-0.7338,14.34,0.98583317
353.3279,-0.4501,14.35,0.0018123473
327.8252,-0.957,14.35,0.0023563604
53.0334,0.3533,14.36,0.9943632
29.7973,0.1099,14.36,0.98635304
27.8057,-1.0607,14.37,0.0018011592
14.365,-0.4715,14.37,0.0018214554
35.4188,0.2553,14.37,0.004951563
51.3177,-0.409,14.38,0.0018563308
49.1326,-0.4681,14.4,0.9943673
348.9301,0.4168,14.4,0.9943673
54.0065,1.1048,14.42,0.0018128529
42.5327,-0.2669,14.42,0.0018024595
38.6726,-1.2385,14.45,0.03998642
30.8167,0.2989,14.46,0.0018524705
322.306,-0.2947,14.46,0.99429387
337.2695,-1.1849,14.47,0.0018127864
35.1106,-0.3128,14.49,0.014618747
6.4071,0.0368,14.49,0.0018481921
25.0728,-0.2946,14.49,0.0018820765
347.7918,-0.1522,14.49,0.0018002111
55.8082,-1.0187,14.5,0.0022388434
331.3143,-1.1259,14.52,0.0018241814
46.1523,-0.0375,14.52,0.9943668
20.0964,-0.0789,14.53,0.0017953798
0.0533,1.1203,14.53,0.9943673
20.6475,-0.5701,14.54,0.0019891737
18.697,1.1212,14.55,0.9943673
337.6382,1.0257,14.56,0.0072626196999999
38.4651,1.1372,14.57,0.009701538
51.68,-0.7695,14.58,0.0018413521
336.5144,1.2046,14.58,0.9853506
42.4205,-0.5234,14.58,0.9943673
28.7213,-0.5971,14.58,0.002754338
43.7632,-1.1893,14.59,0.9943672
27.9521,0.2638,14.6,0.9943667
24.6019,-0.2058,14.6,0.0019035718
12.9984,-0.4866,14.6,0.021845425
17.6593,-0.278,14.61,0.99436706
32.8019,-0.8259,14.61,0.99416035
29.2285,-0.6402,14.61,0.0018601862
24.3035,-0.5044,14.62,0.017179864
20.3233,-0.5976,14.63,0.0017966517
313.5181,0.7774,14.63,0.99406755
342.9298,0.4153,14.63,0.6407474
10.4423,1.1772,14.64,0.9943673
333.5868,1.0187,14.65,0.9942154
320.7445,1.0267,14.65,0.0021815766
346.6722,-0.8517,14.66,0.73493713
46.2857,0.3434,14.66,0.9943672
36.5051,1.0181,14.69,0.99433655
32.6755,-0.6384,14.69,0.9942878
318.3041,-0.3666,14.7,0.9943655999999998
313.8301,0.5406,14.71,0.9943645
313.2933,0.2325,14.72,0.11222778
12.4672,0.9631,14.72,0.9943672
354.9219,-0.0344,14.72,0.0018053709
24.6603,0.7415,14.72,0.99428
358.3792,-0.7401,14.72,0.23533772
359.4524,0.7956,14.73,0.001807653
42.9774,0.6647,14.73,0.9943673
323.1740000000001,-0.1278,14.73,0.99432445
38.7285,-0.7959,14.73,0.012733045
14.0445,-1.1167,14.76,0.0018247779
9.6172,0.1226,14.77,0.9943673
41.3074,-0.7461,14.77,0.0018193636
324.2598,0.4283,14.78,0.99119824
41.6393,-0.6542,14.78,0.0018578413
39.0983,0.7087,14.78,0.9943673
49.3603,-0.0941,14.79,0.99436706
38.844,-0.1168,14.79,0.0056679356
41.6946,-0.7288,14.79,0.9544484
55.185,1.0566,14.79,0.026870416
23.5531,-1.1248,14.79,0.0022368128
14.2109,0.3465,14.81,0.07912502
29.272,-0.4683,14.81,0.9942736
19.0137,-0.1146,14.81,0.99191874
339.6694,0.1009,14.81,0.0018292258
5.397,1.1656,14.82,0.99436694
32.2209,0.7869,14.82,0.99435955
14.2161,0.0058,14.83,0.97885466
7.4556,-1.2349,14.83,0.0017965954
29.7177,0.5683,14.83,0.9673788
42.4195,-0.5659,14.83,0.0021106699
56.9406,0.6867,14.84,0.0018389891
340.24,-1.2523,14.85,0.99436605
52.9352,0.7478,14.86,0.9937105
47.9578,0.1585,14.86,0.9040557
42.5419,-0.8671,14.87,0.81316715
339.8501,-1.0377,14.88,0.0019694488
16.5997,-0.1449,14.89,0.93375826
349.5615,0.7659,14.89,0.0709202999999999
20.0325,0.0771,14.89,0.99434584
30.4308,-1.0698,14.9,0.0018571917
14.2371,-1.2117,14.9,0.9943597
51.1697,-0.6815,14.9,0.9943505
9.8883,0.5975,14.91,0.008714095
46.3325,-0.9708,14.91,0.9943597
348.7078,-0.2413,14.91,0.9874351999999998
41.2437,-1.1709,14.91,0.0019103742
55.07100000000001,1.094,14.92,0.9943672
49.584,-0.8246,14.92,0.16130951
330.5068,0.1299,14.92,0.34914467
28.6097,-0.212,14.92,0.9943672
31.6771,-0.8603,14.93,0.99074334
18.6929,-0.0011,14.94,0.6482108
318.0478,-0.2587,14.94,0.9943672
18.0138,-0.0677,14.94,0.8808431999999999
350.3532,-0.9856,14.94,0.9786816
12.678,0.433,14.95,0.9942925
17.7117,0.1982,14.95,0.9943673
34.7485,0.33,14.96,0.99436706
350.661,-0.9843,14.96,0.9943538
17.7391,0.6343,14.96,0.9943197
18.726,0.3033,14.96,0.0022199664
339.9790000000001,-0.9885,14.97,0.0018010578
17.4239,1.1545,14.97,0.99436474
30.8167,-1.0403,14.98,0.0017947126
19.8062,-1.1444,14.98,0.0021307769
28.1012,-1.1417,14.99,0.9943633
14.6949,-0.7518,14.99,0.0018018194
50.772,0.3543,14.99,0.0018135969
318.3282,-0.1652,14.99,0.9943668
14.3573,-0.5199,15.0,0.002437558
46.3266,0.2156,15.0,0.9942363
18.5659,0.7655,15.0,0.9943673
7.4099,0.4102,15.0,0.99436706
18.4429,0.3058,15.0,0.9363375
52.1382,1.0067,15.01,0.0017962294
343.7918,-0.4094,15.01,0.0018141856
20.7049,0.0447,15.01,0.0036192702
14.4737,-0.8146,15.01,0.0018980489
29.2524,-0.0897,15.01,0.9943673
356.2337,1.127,15.02,0.002304771
26.8156,0.9634,15.03,0.00180312
355.2802,0.0953,15.03,0.0026295234
331.6603,1.1769,15.03,0.0020457844
38.6572,-0.9797,15.03,0.9940118
14.0249,0.6286,15.03,0.9892703000000002
310.2168,0.6528,15.04,0.9943655999999998
353.6749,0.1825,15.04,0.0019365747
13.8203,-0.9179,15.04,0.99436605
358.9383,-1.2555,15.04,0.0019379698
343.6105,1.2189,15.05,0.8210868
47.7721,-0.5466,15.05,0.99310476
355.3579,-0.6621,15.05,0.88882947
51.6441,-0.6478,15.05,0.9937733
53.4336,-0.5273,15.05,0.0018128614
51.1555,-0.4441,15.05,0.99284935
9.6111,-0.012,15.05,0.9943135
25.0603,-0.5151,15.06,0.9943672
356.0567,0.8039,15.07,0.99436694
49.9401,-0.0771,15.07,0.99430287
6.9899,-0.0612,15.08,0.9938233
14.5019,-0.2908,15.08,0.0025247794
333.2565,0.2445,15.09,0.35778633
19.2872,1.1047,15.09,0.0018340365
32.547,-1.2323,15.09,0.1285171
18.8198,0.1857,15.09,0.051407676
6.0452,-1.0203,15.1,0.0019292764
5.9758,-0.7248,15.1,0.0018470541
53.1713,-1.1838,15.1,0.9943673
349.8465,1.1261,15.1,0.99436176
322.9288,0.358,15.1,0.9943552
27.5294,-0.74,15.11,0.9943673
317.1528,0.0707,15.11,0.9279885
10.6638,0.2775,15.11,0.9943673
27.2203,-1.1319,15.12,0.20724252
51.1589,-0.422,15.12,0.0018801785
348.101,-1.1794,15.12,0.9943672
7.3982,-0.2352,15.13,0.0018231104
16.0631,-1.1141,15.13,0.9943645
321.4741,0.4162,15.13,0.99423236
20.8208,-0.9059,15.13,0.9943651
355.136,-0.551,15.14,0.9943558
15.3201,-1.0976,15.14,0.9943672
52.6212,0.752,15.14,0.9943651
7.4494,-0.2459,15.15,0.990455
18.7864,0.5760000000000001,15.15,0.8329089
33.1939,0.2139,15.15,0.98648435
14.3077,-0.6473,15.15,0.041967604
311.7638,0.4368,15.15,0.0060299286
57.2429,-0.5212,15.15,0.12561771
39.0454,-0.9761,15.16,0.9943667
19.8208,-0.1137,15.16,0.99323446
336.7677,0.7549,15.16,0.0018266453
40.8711,-1.0027,15.16,0.9943303
339.0714,1.2106,15.16,0.007129059
54.0324,-0.5964,15.17,0.99359906
49.2287,-0.042,15.17,0.22831202
41.1529,0.1421,15.17,0.23069139
343.2703,0.4082,15.17,0.0018210304
51.3696,0.2786,15.18,0.14707991
57.6747,1.0408,15.18,0.0018019808
46.2926,-0.3149,15.18,0.9943658
16.9736,0.3264,15.18,0.0045490214
27.7378,0.2345,15.19,0.0018143179
12.04,-0.9122,15.19,0.9943334
