id,ra,dec,sp_mag_u,sp_mag_g,sp_mag_r,sp_mag_i,sp_mag_z,sp_mag_F378,sp_mag_F395,sp_mag_F410,sp_mag_F430,sp_mag_F515,sp_mag_F660,sp_mag_F861,sp_mag_err_u,sp_mag_err_g,sp_mag_err_r,sp_mag_err_i,sp_mag_err_z,sp_mag_err_F378,sp_mag_err_F395,sp_mag_err_F410,sp_mag_err_F430,sp_mag_err_F515,sp_mag_err_F660,sp_mag_err_F861,sp_A,sp_B,sp_PA,sp_radius_petro,sp_radius_50,sp_radius_90,sp_photoz,sp_photoz_odds,ls_mag_g,ls_mag_r,ls_mag_i,ls_mag_z,ls_type,lit_redshift,lit_redshift_err,lit_source,lit_velocity,lit_velocity_err,velocity_offset,dist_proj,dist
1,159.34511,-27.545753,17.967104,17.181974,16.85227,16.717192,16.633375,17.583336,17.573343,17.448545,17.321053,17.020372,16.57883,16.737356,0.031802677,0.009631378,0.008550592,0.009356108,0.017297974,0.034022886,0.054841157,0.04324284,0.0387905,0.024882575,0.008479683,0.021286234,0.0018272866,0.00089346326,65.52538,5.2799997,8.387295,15.587594,0.010000001,0.9985459,17.04841,16.72381,16.616333,16.518185,EXP,0.009136,3.3e-05,NED_2003MNRAS.339..652K,2738.904,9.893151,-1035.885,0.134527,0.126487
2,159.3038,-27.68394,14.765206,13.643005,13.036712,12.701796,12.442259,14.458825,14.341291,14.066372,13.900739,13.513465,12.767609,12.584528,0.009342876,0.002050921,0.0014741726,0.0013663976,0.002161216,0.010706768,0.015626013,0.0107668135,0.0093028005,0.0055390717,0.0014313384,0.0026862046,0.00373972,0.003529643,-72.34665,3.9599998,23.771355,65.246086,0.006489796,0.99758136,18.157133,18.074883,18.094627,17.8084,PSF,0.009537,2e-05,NED_2003MNRAS.339..652K,2859.121,5.995849,-917.169,0.191402,0.179962
3,159.63845759274415,-27.73729976787364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.857598,13.342611,13.151053,12.941268,SER,0.014724,1.2e-05,NED_2005ApJS..160..149S,4414.144,3.597509,618.452,0.449321,0.422466
4,159.22147,-27.05292,16.66191,15.291826,14.800032,14.556311,14.4317665,16.05301,16.284447,15.703659,15.4557295,15.09923,14.569005,14.436387,0.073313445,0.014078842,0.008304038,0.009289496,0.015659098,0.061029408,0.11359349,0.067318894,0.049307685,0.030975316,0.010112931,0.02292117,0.0023130833,0.0015932873,64.72628,5.9399996,17.124071,34.967854,0.017836737,0.9701604,,,,,,0.011785,2.7e-05,NED_1989ESOLV.C...0000L,3533.054,8.094396,-251.644,0.465343,0.437531
5,159.33278,-28.238796,16.872242,15.938269,15.559775,15.433417,15.303068,16.545462,16.474836,16.248451,16.047426,15.820379,15.266818,15.315848,0.028358875,0.007266784,0.0061482745,0.006909207,0.012555466,0.032119382,0.048677593,0.03514817,0.029182157,0.020352611,0.005962699,0.014370109,0.0018806242,0.0013312849,26.500196,5.2799997,11.827467,26.766388,0.00967347,0.9980469,15.783448,15.379395,15.161234,15.086785,SER,0.011531,0.0001,NED_1989A&AS...77..237R,3456.907,29.979246,-326.841,0.731073,0.687379
6,158.84703005545876,-28.31366956420609,15.025317,13.694631,12.994483,12.632009,12.385935,14.722153,14.443649,14.213263,14.093518,13.475872,12.797026,12.495764,0.012164326,0.002246336,0.0014456885,0.001333654,0.002134012,0.014258216,0.01785819,0.012971597,0.011636889,0.005708606,0.0015351842,0.0026658096,0.0045026294,0.0027871225,-46.959534,5.2799997,27.35396,61.087627,0.012408163,0.9982378,,,,,,0.011021,1.7e-05,NED_1989ESOLV.C...0000L,3304.013,5.096472,-477.828,0.854604,0.803526
7,159.91219,-28.09667,17.964458,16.986513,16.483862,16.32463,16.378359,17.484787,17.108267,16.979647,17.218897,16.842882,16.342136,16.208422,0.081688195,0.01960444,0.014745945,0.016228216,0.035623748,0.079594806,0.092960365,0.071774,0.08995473,0.05434464,0.016180433,0.033789128,0.0015324991,0.0010245813,-53.018917,5.9399996,11.566631,26.572443,0.012591837,0.9900058,16.940033,16.50039,16.32564,16.201963,SER,0.011491,0.000267,NED_2003ApJ...591..764C,3444.915,80.044586,-338.683,0.858923,0.807587
8,158.20314052797025,-27.52209589272312,15.492356,14.315046,13.658076,13.365493,13.178595,15.414747,15.24991,14.890256,14.715113,14.189887,13.461927,13.227436,0.031294744,0.0067204777,0.0043273824,0.00488067,0.0072203893,0.044646434,0.062091324,0.04109954,0.032774094,0.018237466,0.0053899325,0.010097699,0.0040303245,0.0028871365,-85.52799,5.2799997,30.645777,55.73693,0.021836735,0.94700867,14.243892,13.576767,13.263442,13.04156,SER,0.014343,3.3e-05,NED_2003MNRAS.339..652K,4299.923,9.893151,505.657,0.881023,0.828367
9,159.56111459515,-28.340807042073006,18.528566,17.354555,16.92349,16.666258,16.650005,18.000359,18.206396,17.35364,17.964964,16.981054,16.784416,16.67466,0.13499235,0.027415544,0.022118835,0.02240063,0.045731384,0.12626193,0.24910721,0.1012137,0.17715704,0.06161856,0.024581399,0.05254352,0.0015306581,0.0011241663,-63.991684,6.5999994,10.028616,26.166132,0.008489796,0.9951069,17.595604,17.129137,16.958504,16.844055,SER,,,,,,,0.8837785798184798,
10,160.41435,-27.777077,17.15967,16.320066,15.968038,15.874719,15.795841,16.64976,16.579527,16.44728,16.534029,16.024965,15.584744,15.856771,0.033534124,0.010528358,0.008020159,0.010482512,0.018116035,0.030636577,0.042925112,0.03579636,0.03721907,0.019232575,0.0068572573,0.023433799,0.0016114562,0.0007944354,-38.50774,5.2799997,8.845594,20.26922,0.0115102045,0.99955606,,,,,,0.013676,0.001134,NED_1998A&AS..132...55B,4099.962,99.99,308.19,1.110557,1.044182
